Intent,Gender,Age,Race,Deaths,Population,Rate
Accident,None selected,None selected,None selected,546,316299978,0.2
Accident,None selected,None selected,White,377,197369634,0.2
Accident,None selected,None selected,Black,109,38896382,0.3
Accident,None selected,None selected,Hispanic,48,54049078,0.1
Accident,None selected,None selected,Asian/Pacific Islander,4,16315561,0
Accident,None selected,None selected,Other,7,9669323,0.1
Accident,None selected,Under 15,None selected,59,61085868,0.1
Accident,None selected,Under 15,White,33,31538832,0.1
Accident,None selected,Under 15,Black,19,8323603,0.2
Accident,None selected,Under 15,Hispanic,6,14994449,0
Accident,None selected,Under 15,Asian/Pacific Islander,0,2825155,0
Accident,None selected,Under 15,Other,1,3403829,0
Accident,None selected,15 - 34,None selected,210,86611149,0.2
Accident,None selected,15 - 34,White,116,48773131,0.2
Accident,None selected,15 - 34,Black,60,11893789,0.5
Accident,None selected,15 - 34,Hispanic,29,17960261,0.2
Accident,None selected,15 - 34,Asian/Pacific Islander,2,4950398,0
Accident,None selected,15 - 34,Other,3,3033571,0.1
Accident,None selected,35 - 64,None selected,206,123935928,0.2
Accident,None selected,35 - 64,White,165,81870182,0.2
Accident,None selected,35 - 64,Black,24,14848291,0.2
Accident,None selected,35 - 64,Hispanic,12,17777422,0.1
Accident,None selected,35 - 64,Asian/Pacific Islander,2,6797707,0
Accident,None selected,35 - 64,Other,3,2642326,0.1
Accident,None selected,65,None selected,71,44667034,0.2
Accident,None selected,65,White,64,35187489,0.2
Accident,None selected,65,Black,6,3830699,0.2
Accident,None selected,65,Hispanic,2,3316947,0.1
Accident,None selected,65,Asian/Pacific Islander,0,1742301,0
Accident,None selected,65,Other,0,589598,0
Accident,None selected,5,None selected,0,0,NA
Accident,None selected,5,White,0,0,NA
Accident,None selected,5,Black,0,0,NA
Accident,None selected,5,Hispanic,0,0,NA
Accident,None selected,5,Asian/Pacific Islander,0,0,NA
Accident,None selected,5,Other,0,0,NA
Accident,Female,None selected,None selected,73,160668110,0
Accident,Female,None selected,White,55,100162288,0.1
Accident,Female,None selected,Black,11,20362385,0.1
Accident,Female,None selected,Hispanic,5,26670924,0
Accident,Female,None selected,Asian/Pacific Islander,1,8589119,0
Accident,Female,None selected,Other,1,4883395,0
Accident,Female,Under 15,None selected,12,29836679,0
Accident,Female,Under 15,White,7,15355910,0
Accident,Female,Under 15,Black,3,4095428,0.1
Accident,Female,Under 15,Hispanic,2,7330024,0
Accident,Female,Under 15,Asian/Pacific Islander,0,1393440,0
Accident,Female,Under 15,Other,0,1661877,0
Accident,Female,15 - 34,None selected,21,42593280,0
Accident,Female,15 - 34,White,14,23942099,0.1
Accident,Female,15 - 34,Black,5,6023846,0.1
Accident,Female,15 - 34,Hispanic,2,8580577,0
Accident,Female,15 - 34,Asian/Pacific Islander,0,2535358,0
Accident,Female,15 - 34,Other,0,1511400,0
Accident,Female,35 - 64,None selected,33,63125058,0.1
Accident,Female,35 - 64,White,28,41284839,0.1
Accident,Female,35 - 64,Black,3,7932606,0
Accident,Female,35 - 64,Hispanic,1,8863203,0
Accident,Female,35 - 64,Asian/Pacific Islander,1,3668172,0
Accident,Female,35 - 64,Other,0,1376239,0
Accident,Female,65,None selected,7,25113094,0
Accident,Female,65,White,6,19579439,0
Accident,Female,65,Black,0,2310506,0
Accident,Female,65,Hispanic,0,1897119,0
Accident,Female,65,Asian/Pacific Islander,0,992150,0
Accident,Female,65,Other,0,333879,0
Accident,Female,5,None selected,0,0,NA
Accident,Female,5,White,0,0,NA
Accident,Female,5,Black,0,0,NA
Accident,Female,5,Hispanic,0,0,NA
Accident,Female,5,Asian/Pacific Islander,0,0,NA
Accident,Female,5,Other,0,0,NA
Accident,Male,None selected,None selected,474,155631868,0.3
Accident,Male,None selected,White,323,97207346,0.3
Accident,Male,None selected,Black,98,18533996,0.5
Accident,Male,None selected,Hispanic,43,27378155,0.2
Accident,Male,None selected,Asian/Pacific Islander,3,7726442,0
Accident,Male,None selected,Other,7,4785929,0.1
Accident,Male,Under 15,None selected,47,31249189,0.2
Accident,Male,Under 15,White,26,16182922,0.2
Accident,Male,Under 15,Black,16,4228176,0.4
Accident,Male,Under 15,Hispanic,4,7664425,0.1
Accident,Male,Under 15,Asian/Pacific Islander,0,1431715,0
Accident,Male,Under 15,Other,1,1741952,0.1
Accident,Male,15 - 34,None selected,189,44017869,0.4
Accident,Male,15 - 34,White,102,24831032,0.4
Accident,Male,15 - 34,Black,56,5869943,1
Accident,Male,15 - 34,Hispanic,27,9379683,0.3
Accident,Male,15 - 34,Asian/Pacific Islander,1,2415040,0
Accident,Male,15 - 34,Other,3,1522171,0.2
Accident,Male,35 - 64,None selected,173,60810870,0.3
Accident,Male,35 - 64,White,137,40585343,0.3
Accident,Male,35 - 64,Black,21,6915685,0.3
Accident,Male,35 - 64,Hispanic,10,8914219,0.1
